LP; DRUZYNA;               MECZE; PUNKTY; ZWYCIESTWA; REMISY; PORAZKI; BRAMKI;
1;  Legia Warszawa;        23;    44;     14;         2 ;     7 ;      35-24;
2;  Jagiellonia Bialystok; 23;    42;     12;         6 ;     5 ;      32-24;
3;  Lech Poznan;           23;    40;     10;         10;     3 ;      32-16;
4;  Gornik Zabrze;         23;    39;     11;         6 ;     6 ;      45-36;
5;  Wisla Plock;           23;    36;     11;         3 ;     9 ;      32-29;
6;  Korona Kielce;         23;    35;     9 ;         8 ;     6 ;      38-31;
7;  Wisla Krakow;          23;    35;     10;         5 ;     8 ;      34-29;
8;  Arka Gdynia;           23;    32;     8 ;         8 ;     7 ;      28-23;
9;  Zaglebie Lubin;        23;    32;     8 ;         8 ;     7 ;      33-29;
10; Slask Wroclaw;         23;    27;     7 ;         6 ;     10;      28-37;
11; Cracovia;              23;    25;     6 ;         7 ;     10;      30-34;
12; Lechia Gdansk;         23;    25;     6 ;         8 ;     9 ;      31-36;
13; Piast Gliwice;         23;    23;     5 ;         8 ;     10;      24-33;
14; Sandecja Nowy Sacz;    23;    22;     4 ;         10;     9 ;      24-37;
15; Bruk-Bet Nieciecza;    23;    21;     5 ;         6 ;     12;      23-39;
16; Pogon Szczecin;        23;    20;     5 ;         5 ;     13;      25-37;